feature,coefficient,abs_coefficient
num__user_engagement_count,1.8982926080937974,1.8982926080937974
num__bounce_like_session,1.2431233783867117,1.2431233783867117
cat__traffic_source_kaggle_electronics,-1.156190056536887,1.156190056536887
cat__country_unknown,-1.156190056536887,1.156190056536887
cat__traffic_medium_clickstream,-1.156190056536887,1.156190056536887
cat__device_category_unknown,-1.156190056536887,1.156190056536887
cat__operating_system_unknown,-1.156190056536887,1.156190056536887
num__event_count_winsorized,1.105392492212272,1.105392492212272
cat__landing_path_/category/computers.components.cooler,-0.8546866523317928,0.8546866523317928
cat__landing_path_/category/electronics.video.tv,-0.8321671776327553,0.8321671776327553
cat__landing_path_/category/auto.accessories.videoregister,-0.8258629102650146,0.8258629102650146
num__journey_depth_pre_purchase,0.763678377682921,0.763678377682921
cat__landing_path_/category/stationery.cartrige,0.6884138102851947,0.6884138102851947
cat__landing_path_/category/computers.notebook,0.6213692145736682,0.6213692145736682
num__engagement_seconds_winsorized,0.5714899666536855,0.5714899666536855
num__session_duration_sec_winsorized,0.5714899666536855,0.5714899666536855
cat__landing_path_/category/appliances.sewing_machine,-0.3928610647376373,0.3928610647376373
cat__landing_path_/category/construction.tools.drill,-0.3175282053854417,0.3175282053854417
cat__landing_path_/category/computers.peripherals.wifi,0.3163232352136811,0.3163232352136811
cat__landing_path_/category/computers.peripherals.printer,0.2457710822426834,0.2457710822426834
cat__landing_path_/category/electronics.telephone,0.2353988170504766,0.2353988170504766
cat__landing_path_/category/computers.components.power_supply,0.22155707193346338,0.22155707193346338
cat__session_weekday_Tuesday,-0.21508525870556952,0.21508525870556952
cat__landing_path_/category/appliances.environment.vacuum,0.21446690072008257,0.21446690072008257
cat__session_weekday_Thursday,-0.21333991014948236,0.21333991014948236
cat__landing_path_/category/auto.accessories.player,-0.20527053708600693,0.20527053708600693
cat__landing_path_other,-0.20481689708390138,0.20481689708390138
cat__landing_path_/category/electronics.audio.headphone,-0.204459093898551,0.204459093898551
cat__landing_path_/category/computers.peripherals.joystick,0.1896034327621127,0.1896034327621127
cat__session_weekday_Monday,-0.16168979274758566,0.16168979274758566
cat__session_weekday_Saturday,-0.15969080504582445,0.15969080504582445
cat__session_weekday_Wednesday,-0.15635308549905114,0.15635308549905114
cat__session_weekday_Sunday,-0.14696206310641313,0.14696206310641313
cat__landing_path_/category/computers.components.cpu,-0.12717063015523333,0.12717063015523333
cat__landing_path_/category/unknown,-0.10317350826822433,0.10317350826822433
cat__session_weekday_Friday,-0.10306914128277546,0.10306914128277546
num__begin_checkout_count,0.10046704069240668,0.10046704069240668
num__add_to_cart_count,0.10046704069240668,0.10046704069240668
cat__landing_path_/category/electronics.audio.acoustic,-0.09975054393567875,0.09975054393567875
cat__landing_path_/category/computers.peripherals.monitor,0.08252826529922366,0.08252826529922366
cat__landing_path_/category/computers.components.hdd,0.08199596663951048,0.08199596663951048
num__page_view_count,-0.08140240334528001,0.08140240334528001
num__view_item_count,-0.08140240334528001,0.08140240334528001
cat__landing_path_/category/computers.components.videocards,0.07914031832507937,0.07914031832507937
cat__landing_path_/category/construction.tools.soldering,0.029074448931645888,0.029074448931645888
cat__landing_path_/category/computers.desktop,0.025893580548632847,0.025893580548632847
cat__landing_path_/category/computers.components.motherboard,-0.01656614925084379,0.01656614925084379
cat__landing_path_/category/electronics.tablet,-0.0034128310309978795,0.0034128310309978795
num__cart_without_checkout,0.0,0.0
num__view_item_list_count,0.0,0.0
num__scroll_count,0.0,0.0
